@relation openSMILE_features

@attribute name string
@attribute frameTime numeric
@attribute F0final_sma numeric
@attribute voicingFinalUnclipped_sma numeric
@attribute pcm_loudness_sma numeric
@attribute class numeric

@data
'unknown',1.860000,0.000000e+000,0.000000e+000,8.900990e-002,?
'unknown',1.870000,1.803715e+001,2.466326e-001,7.444504e-002,?
'unknown',1.880000,3.601104e+001,4.880932e-001,7.953911e-002,?
'unknown',1.890000,5.637732e+001,7.337591e-001,6.000939e-002,?
'unknown',1.900000,5.862172e+001,7.327659e-001,4.643858e-002,?
'unknown',1.910000,4.064783e+001,4.913052e-001,4.913281e-002,?
'unknown',1.920000,2.028155e+001,2.456394e-001,6.387142e-002,?
'unknown',1.930000,1.976108e+001,2.500997e-001,7.586578e-002,?
'unknown',1.940000,3.864873e+001,4.943477e-001,9.042498e-002,?
'unknown',1.950000,3.864873e+001,4.943477e-001,9.017193e-002,?
'unknown',1.960000,1.888765e+001,2.442479e-001,9.529891e-002,?
'unknown',1.970000,0.000000e+000,0.000000e+000,5.776633e-002,?
'unknown',1.980000,0.000000e+000,0.000000e+000,5.699822e-002,?
'unknown',1.990000,0.000000e+000,0.000000e+000,6.468132e-002,?
'unknown',1.990000,0.000000e+000,0.000000e+000,8.262733e-002,?
